product_id,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,product_status,launch_date
21230,PrimeChoice Action Figures Dinner,Toys & Games,Action Figures,NovaTech,392.03,495.35,1494.0,Active,2019-05-05
16034,UrbanEdge Men's Wear Amount,Apparel,Men's Wear,Northline,228.05,354.42,828.0,Active,2017-01-09
7606,TrueValue Paper Products Economy,Office Supplies,Paper Products,GreenLeaf,88.0,148.6,732.0,Active,2016-01-27
28626,UrbanEdge Cycling Learn,Sports & Outdoors,Cycling,Northline,13.43,23.74,1675.0,Active,2025-10-10
19539,NovaTech Writing Instruments Brother,Office Supplies,Writing Instruments,PrimeChoice,75.84,127.54,1527.0,Active,2022-03-09
14566,GreenLeaf Bakery Professor,Grocery,Bakery,Northline,299.23,471.24,2017.0,Active,2022-07-21
6028,  GreenLeaf Cycling Citizen  ,Sports & Outdoors,Cycling,Northline,306.28,485.04,1198.0,Active,2025-10-10
18032,TrueValue Action Figures Statement,Toys & Games,Action Figures,PrimeChoice,399.73,689.89,768.0,Active,2023-12-27
27810,TrueValue Puzzles Agree,,Puzzles,RetailMart Basics,267.47,390.79,1952.0,Active ,2018-03-02
24631,PrimeChoice Furniture They,Home & Garden,Furniture,NovaTech,101.64,192.68,1995.0,Active,2024-02-09
8974,Logitech Puzzles Son,Toys & Games,Puzzles,Northline,79.71,97.58,1981.0,Active,2015-05-29
10482,Logitech Skincare Yes,Health & Beauty,Skincare,RetailMart Basics,290.99,506.34,2103.0,Active,2016-10-17
5652,RetailMart Basics Audio Ten,Electronics,Audio,TrueValue,119.04,146.59,1744.0,Active,
21832,TrueValue Haircare Despite,Health & Beauty,Haircare,Homestead,303.79,571.97,277.0,Active,2018-05-18
2777,Northline Haircare Address,Health & Beauty,Haircare,RetailMart Basics,190.77,234.45,799.0,Active,2018-03-27
1193,NovaTech Camping Pressure,Sports & Outdoors,Camping,Everstyle,181.82,332.15,1940.0,Active,
19179,Northline Footwear Analysis,Apparel,Footwear,TrueValue,129.75,162.82,1094.0,Active,2019-05-27
24545,Logitech Haircare Onto,Health & Beauty,Haircare,RetailMart Basics,126.27,220.29,424.0,Inactive,2015-08-11
16375,UrbanEdge Fitness Check,Sports & Outdoors,Fitness,TrueValue,280.3,496.67,2086.0,active,2016-08-18
8238,NovaTech Car Care Music,Automotive,Car Care,PrimeChoice,246.56,465.12,804.0,Active ,2016-05-13
2723,Northline Kitchenware Step,Home & Garden,Kitchenware,Northline,177.96,327.79,2180.0,Active,2024-06-23
10581,PrimeChoice Paper Products Kitchen,Office Supplies,Paper Products,Homestead,102.97,157.01,296.0,Active,2021-05-12
13013,Everstyle Haircare East,Health & Beauty,Haircare,PrimeChoice,98.4,186.29,964.0,Active,2015-12-25
2686,Northline Board Games Your,Toys & Games,Board Games,Homestead,331.98,498.81,758.0,Active,2017-01-14
20202,GreenLeaf Fitness Tree,Sports & Outdoors,Fitness,PrimeChoice,353.16,612.99,1856.0,Active,2018-01-09
12901,Vantage Tools After,Automotive,Tools,PrimeChoice,338.61,566.1,1149.0,Inactive,
21135,Northline Board Games Field,Toys & Games,Board Games,PrimeChoice,376.9,706.81,1265.0,Active,2016-05-11
18405,TrueValue Camping State,Sports & Outdoors,Camping,GreenLeaf,305.93,386.05,422.0,Inactive,2017-10-29
5828,Homestead Decor Century,Home & Garden,Decor,Everstyle,185.93,301.69,1000.0,Active,2023-01-26
25256,UrbanEdge Puzzles Citizen,Toys & Games,Puzzles,Homestead,251.11,382.02,517.0,Active,2016-02-20
24901,PrimeChoice Dog Participant,Pet Supplies,Dog,Logitech,167.2,202.86,1893.0,Inactive,
22376,TrueValue Puzzles Order,Toys & Games,Puzzles,RetailMart Basics,38.52,70.57,1297.0,Active,2024-01-20
3739,NovaTech Audio Seat,Electronics,Audio,NovaTech,143.53,243.67,1861.0,Active,2016-08-02
4839,Northline Bakery Paper,Grocery,Bakery,Everstyle,111.53,210.4,1272.0,Active,2020-07-07
29916,TrueValue Bakery Head,Grocery,Bakery,RetailMart Basics,315.12,543.91,1785.0,Active,2015-03-24
26138,TrueValue Beverages Nature,Grocery,Beverages,Northline,95.15,162.32,,Active,
3570,Vantage Camping Even,Sports & Outdoors,Camping,TrueValue,257.14,370.62,1567.0,Active,2016-01-21
5201,Homestead Fish Law,Pet Supplies,Fish,,301.97,537.63,2036.0,Active,2017-04-17
15769,NovaTech Writing Instruments Language,Office Supplies,Writing Instruments,Everstyle,59.28,78.25,1559.0,Active,2017-08-22
12966,GreenLeaf Skincare Couple,Health & Beauty,Skincare,UrbanEdge,304.03,507.9,513.0,Active,2023-10-15
24443,Logitech Haircare School,Health & Beauty,Haircare,UrbanEdge,124.27,193.43,1061.0,Active,2016-07-13
13265,Northline Cycling Own,Sports & Outdoors,Cycling,UrbanEdge,126.85,184.17,1035.0,Active,2025-12-14
26603,PrimeChoice Tools Lawyer,Automotive,Tools,UrbanEdge,49.05,68.01,1794.0,Active,2021-04-19
2309,Vantage Decor Summer,Home & Garden,Decor,Logitech,125.67,187.74,2131.0,Active,2017-05-30
20613,Vantage Car Care Consumer,Automotive,Car Care,RetailMart Basics,293.14,353.34,300.0,Active,2022-09-04
16125,NovaTech Tools Risk,Automotive,Tools,TrueValue,195.07,345.79,821.0,Active,2026-02-18
18210,NovaTech Writing Instruments Sing,Office Supplies,Writing Instruments,PrimeChoice,88.58,110.34,1556.0,Inactive,2017-11-21
25387,Northline Decor Within,Home & Garden,Decor,RetailMart Basics,640.991,493.07,1587.0,Inactive,2019-10-01
1777,TrueValue Dog I,Pet Supplies,Dog,Everstyle,87.34,161.61,794.0,Active,
10037,RetailMart Basics Mobile Phones Listen,Electronics,Mobile Phones,,217.59,291.42,1127.0,Active,2022-10-27
3484,PrimeChoice Furniture Carry,Home & Garden,Furniture,Everstyle,72.01,125.55,1176.0,Active ,2022-09-30
28686,NovaTech Tools Edge,Automotive,Tools,TrueValue,295.09,410.71,1817.0,Active,
12671,GreenLeaf Skincare Serious,Health & Beauty,Skincare,Logitech,333.29,617.91,2102.0,Active,2024-07-20
22925,Everstyle Dairy Scene,Grocery,Dairy,Everstyle,175.47,224.82,297.0,Active,2016-10-01
11058,UrbanEdge Men's Wear Today,Apparel,Men's Wear,Homestead,65.49,107.29,1269.0,Active ,2022-09-12
21165,GreenLeaf Cycling Election,Sports & Outdoors,Cycling,Northline,95.32,144.66,1375.0,Active,2019-07-13
23710,Northline Tools Order,Automotive,Tools,TrueValue,169.98,319.46,2182.0,Active,2017-10-31
3331,NovaTech Puzzles Her,Toys & Games,Puzzles,Logitech,322.93,537.35,410.0,Active,2018-09-22
7682,TrueValue Bakery Group,Grocery,Bakery,Northline,138.04,235.76,1770.0,Active,2026-07-11
722,TrueValue Decor Town,Home & Garden,Decor,,371.15,591.22,1775.0,Active,2025-07-07
27939,UrbanEdge TVs Strategy,Electronics,TVs,PrimeChoice,285.98,440.6,600.0,Active,2023-11-26
6632,Everstyle Board Games See,Toys & Games,Board Games,GreenLeaf,91.66,158.22,2176.0,Active,2020-07-08
13497,Logitech Writing Instruments Stand,Office Supplies,Writing Instruments,GreenLeaf,204.6,270.97,938.0,Active,2022-06-23
15591,Logitech Cycling Series,Sports & Outdoors,Cycling,TrueValue,229.05,356.78,1463.0,Inactive,2026-06-23
29582,UrbanEdge Bakery Should,Grocery,Bakery,RetailMart Basics,377.34,669.72,645.0,Active,2023-03-30
4933,NovaTech Fitness Senior,Sports & Outdoors,Fitness,UrbanEdge,153.58,238.69,1267.0,Active,2021-05-23
13461,Northline Paper Products Concern,Office Supplies,Paper Products,Homestead,6.06,9.64,879.0,Active,2016-01-15
26585,Northline Mobile Phones Note,Electronics,Mobile Phones,NovaTech,394.91,668.53,506.0,Active,2025-10-13
13266,Homestead Personal Care Sport,Health & Beauty,Personal Care,Northline,171.64,223.75,1174.0,Active,2015-09-28
1097,PrimeChoice Kitchenware Probably,Home & Garden,Kitchenware,,366.81,492.08,315.0,Active,2024-05-25
8527,UrbanEdge Furniture Agree,Home & Garden,Furniture,NovaTech,298.08,425.15,702.0,Active,2025-07-09
21355,  Everstyle Decor Instead  ,Home & Garden,Decor,NovaTech,240.21,429.42,338.0,Active,2020-08-19
15821,Northline Mobile Phones Ability,Electronics,Mobile Phones,Northline,124.99,224.72,1711.0,Active,2020-01-07
311,PrimeChoice Audio Its,Electronics,Audio,PrimeChoice,247.21,425.68,1270.0,Active,2022-11-25
21475,PrimeChoice Cycling Describe,Sports & Outdoors,Cycling,Northline,9.82,12.55,876.0,Active,2021-07-15
4972,UrbanEdge Board Games Since,Toys & Games,Board Games,Logitech,348.21,555.32,916.0,Active,
16141,Northline Decor Thing,Home & Garden,Decor,RetailMart Basics,69.14,111.88,1534.0,Active,2019-01-09
25358,  NovaTech Decor Imagine  ,Home & Garden,Decor,Northline,157.08,259.11,1928.0,Active,2025-04-02
9128,GreenLeaf Board Games Upon,Toys & Games,Board Games,TrueValue,360.05,474.43,1856.0,Active,2016-12-28
21572,TrueValue Fitness I,Sports & Outdoors,Fitness,Homestead,340.39,560.28,444.0,Active,2023-09-10
28978,RetailMart Basics Kids' Wear Conference,Apparel,Kids' Wear,Everstyle,269.44,474.72,1923.0,Active,2022-10-08
1431,Northline Audio Report,Electronics,Audio,Everstyle,127.46,208.24,1964.0,Active,2017-08-29
10292,Vantage Cat Play,Pet Supplies,Cat,Homestead,135.09,225.03,1106.0,Active,2023-03-07
15182,Everstyle Dog Get,Pet Supplies,Dog,Northline,367.74,627.95,1531.0,Active,2024-05-26
19806,Northline Dog Ten,Pet Supplies,Dog,GreenLeaf,24.83,44.0,1949.0,ACTIVE,2019-07-16
9730,Logitech Fitness Energy,Sports & Outdoors,Fitness,NovaTech,22.54,33.06,1876.0,Active,2019-12-08
23312,GreenLeaf Dog Help,Pet Supplies,Dog,Vantage,377.65,479.36,1839.0,Active,2015-10-05
29169,Logitech Cycling Good,Sports & Outdoors,Cycling,TrueValue,42.07,58.8,1459.0,Active,2019-02-04
15281,Everstyle Dairy Tough,Grocery,Dairy,UrbanEdge,185.47,328.37,1992.0,Active,2026-02-23
23003,Logitech Car Care Market,Automotive,Car Care,PrimeChoice,158.12,202.86,2108.0,ACTIVE,2022-12-19
21200,Northline Furniture State,Home & Garden,Furniture,Homestead,197.39,288.33,1066.0,Active,2016-02-29
23802,UrbanEdge Dairy Whole,Grocery,Dairy,TrueValue,122.45,156.32,,active,2018-12-23
24532,  Homestead Women's Wear One  ,Apparel,Women's Wear,UrbanEdge,242.12,389.45,993.0,Active,2020-03-02
17340,PrimeChoice Women's Wear Finish,Apparel,Women's Wear,TrueValue,364.3,690.68,1160.0,Active,2018-09-30
3626,GreenLeaf Action Figures Who,,Action Figures,TrueValue,189.88,356.59,1329.0,Active,2019-09-01
19645,Vantage Action Figures Instead,Toys & Games,Action Figures,Northline,179.44,306.56,998.0,Active,2026-06-14
29393,UrbanEdge Car Care Young,Automotive,Car Care,Vantage,68.65,92.56,1638.0,Active,2023-07-24
20086,Homestead Women's Wear Assume,Apparel,Women's Wear,PrimeChoice,205.39,270.47,792.0,Active,2016-06-12
5758,Logitech Puzzles Once,Toys & Games,Puzzles,RetailMart Basics,70.02,125.23,468.0,Active,2025-11-04
2977,RetailMart Basics TVs Gas,Electronics,TVs,PrimeChoice,134.56,242.81,292.0,Inactive,2022-01-07
3680,UrbanEdge Tools Answer,Automotive,Tools,Everstyle,395.98,593.53,839.0,Active,2025-01-28
25938,Logitech Car Care East,Automotive,Car Care,UrbanEdge,239.04,411.09,657.0,Active,2018-07-24
16460,TrueValue Dairy Before,Grocery,Dairy,Logitech,38.13,65.86,553.0,Inactive,2024-10-08
3826,GreenLeaf Board Games Hope,Toys & Games,Board Games,GreenLeaf,29.5,53.78,1896.0,Active,
1534,Homestead Puzzles Add,Toys & Games,Puzzles,Northline,237.08,416.93,1701.0,Active,2018-07-15
25719,GreenLeaf TVs Middle,Electronics,TVs,GreenLeaf,13.47,21.97,2168.0,Active,
17485,PrimeChoice Camping Myself,Sports & Outdoors,Camping,Logitech,360.26,428.29,948.0,Active,2015-08-24
14703,Northline Action Figures Institution,Toys & Games,Action Figures,GreenLeaf,16.04,19.6,2001.0,Active,2016-08-07
22798,Vantage Skincare Yard,Health & Beauty,Skincare,GreenLeaf,225.79,322.94,796.0,Active,2024-10-29
3290,RetailMart Basics Board Games Dream,Toys & Games,Board Games,NovaTech,161.31,290.54,275.0,Active,2017-07-22
3285,Vantage Paper Products All,Office Supplies,Paper Products,UrbanEdge,162.95,290.15,1346.0,Active,2015-03-09
9932,NovaTech Writing Instruments Know,Office Supplies,Writing Instruments,GreenLeaf,330.54,572.48,815.0,Active,2019-01-08
4006,TrueValue Dog Approach,Pet Supplies,Dog,RetailMart Basics,257.2,330.27,623.0,Active,2024-08-19
24686,NovaTech Writing Instruments These,Office Supplies,Writing Instruments,Northline,220.15,283.09,374.0,Active,2018-08-10
19266,Northline Cycling Pull,Sports & Outdoors,Cycling,TrueValue,109.94,179.84,1692.0,Active,2025-08-30
14644,Logitech Action Figures Each,Toys & Games,Action Figures,NovaTech,275.79,506.96,1293.0,Active,2019-11-06
6997,Homestead Board Games Weight,Toys & Games,Board Games,Everstyle,156.06,189.95,596.0,Active,2019-10-28
2073,GreenLeaf Kitchenware Great,Home & Garden,Kitchenware,TrueValue,281.63,456.43,1925.0,Active,2016-10-18
6246,Logitech Beverages Parent,Grocery,Beverages,Vantage,102.21,150.81,991.0,Active,2024-10-17
7193,Logitech Puzzles Here,Toys & Games,Puzzles,PrimeChoice,372.29,558.6,1871.0,Active,2023-08-20
11021,Homestead Kitchenware Difficult,Home & Garden,Kitchenware,Homestead,142.31,177.18,1507.0,Active,2024-02-03
6338,Vantage Dairy Remain,Grocery,Dairy,Logitech,108.42,168.49,1570.0,Active,2016-11-21
7940,GreenLeaf Men's Wear Left,Apparel,Men's Wear,PrimeChoice,170.84,282.17,1428.0,Active,2024-04-16
10823,Logitech Mobile Phones None,Electronics,Mobile Phones,PrimeChoice,394.11,630.17,1206.0,Active,
21521,Everstyle Paper Products Edge,Office Supplies,Paper Products,TrueValue,147.49,271.76,865.0,Active,2023-01-26
9115,Northline Paper Products Same,Office Supplies,Paper Products,Everstyle,372.42,620.53,1204.0,Active,2022-04-28
848,Everstyle Dog Dinner,Pet Supplies,Dog,Everstyle,195.44,306.46,341.0,Active,2015-12-19
7832,Everstyle Camping Identify,Sports & Outdoors,Camping,PrimeChoice,277.02,440.2,2097.0,Active,2018-12-04
1347,UrbanEdge Car Care Say,Automotive,Car Care,Homestead,325.33,587.18,467.0,Active,2015-10-07
922,RetailMart Basics Audio Nothing,Electronics,Audio,UrbanEdge,122.57,212.74,1612.0,Active,2017-06-09
5256,Everstyle Furniture Book,Home & Garden,Furniture,,173.27,324.89,2168.0,Active,2022-11-09
15513,Homestead Beverages Hospital,Grocery,Beverages,Everstyle,343.85,427.29,280.0,Active,2023-11-01
25822,TrueValue Board Games View,Toys & Games,Board Games,Everstyle,45.62,84.36,995.0,Active,2021-09-19
6342,Vantage Tools Bag,Automotive,Tools,Everstyle,93.97700000000002,72.29,880.0,active,
13464,UrbanEdge Cycling Building,Sports & Outdoors,Cycling,NovaTech,274.51,513.22,1974.0,Active,2025-05-17
2258,UrbanEdge Tools Lead,Automotive,Tools,Vantage,172.77,252.93,743.0,Active ,2019-07-04
17222,NovaTech Personal Care Manage,Health & Beauty,Personal Care,PrimeChoice,106.31,162.91,463.0,Active,2017-06-07
9172,Northline Puzzles Commercial,Toys & Games,Puzzles,UrbanEdge,357.97,466.55,397.0,Active,2025-08-15
17264,UrbanEdge Tools Push,Automotive,Tools,GreenLeaf,323.38,575.0,817.0,Inactive,2019-09-17
12939,PrimeChoice Car Care Throw,Automotive,Car Care,Logitech,117.19,149.41,536.0,Active,2018-01-06
17917,Everstyle Decor Use,Home & Garden,Decor,PrimeChoice,321.63,524.27,1351.0,Inactive,2017-10-11
8495,Everstyle Tools Open,Automotive,Tools,NovaTech,105.85,176.71,2044.0,Active,2024-03-29
3074,GreenLeaf Men's Wear Fast,Apparel,Men's Wear,NovaTech,258.83,340.45,1966.0,Active,2017-02-21
2959,Northline Haircare Claim,Health & Beauty,Haircare,GreenLeaf,87.6,150.06,539.0,Active,2020-01-04
15756,TrueValue Camping Culture,Sports & Outdoors,Camping,PrimeChoice,165.33,287.34,,Active,2024-07-21
27065,TrueValue Cycling Office,Sports & Outdoors,Cycling,PrimeChoice,319.59,442.62,332.0,Active,2023-11-25
16026,Northline Skincare Seem,Health & Beauty,Skincare,TrueValue,385.16,447.35,1184.0,Active,2019-10-13
