product_id,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,product_status,launch_date
101,Homestead Kitchenware Improve,Home & Garden,Kitchenware,RetailMart Basics,164.05,231.24,471,Active,2024-12-08
102,Everstyle Writing Instruments We,Office Supplies,Writing Instruments,PrimeChoice,175.2,204.54,1771,Active,2023-01-30
103,TrueValue Paper Products Reason,Office Supplies,Paper Products,RetailMart Basics,201.14,311.53,911,Active,2023-06-11
104,Homestead Personal Care Right,Health & Beauty,Personal Care,Northline,306.76,497.64,2118,Inactive,
105,Northline Tools Matter,Automotive,Tools,NovaTech,128.65,169.14,694,Active,2024-08-25
106,UrbanEdge Beverages Read,Grocery,Beverages,Vantage,21.27,31.34,1754,Active,2019-08-27
107,RetailMart Basics Computer Accessories Light,Electronics,Computer Accessories,GreenLeaf,306.17,409.68,1087,Active,
108,Everstyle Board Games Effect,Toys & Games,Board Games,Vantage,287.2,515.37,523,Active,2025-07-28
109,UrbanEdge Dog Forget,Pet Supplies,Dog,UrbanEdge,225.69,343.42,1643,Active,2018-09-24
110,PrimeChoice Skincare Capital,Health & Beauty,Skincare,GreenLeaf,212.55,258.41,1011,Active,2021-03-26
111,RetailMart Basics Car Care Establish,Automotive,Car Care,Logitech,326.4,609.24,1275,Active,2022-01-31
112,Northline Dog Tell,Pet Supplies,Dog,GreenLeaf,50.82,77.0,1876,Active,2017-08-28
113,TrueValue Computer Accessories Democrat,Electronics,Computer Accessories,Vantage,30.07,41.6,219,Active,2020-01-01
114,TrueValue Skincare Ask,Health & Beauty,Skincare,PrimeChoice,311.38,535.88,1937,Active,2021-08-20
115,Homestead Men's Wear Give,Apparel,Men's Wear,Logitech,120.67,222.86,1393,Active,2022-05-31
116,NovaTech Dairy Space,Grocery,Dairy,Northline,175.16,284.86,841,Active,
117,RetailMart Basics Tools Serve,Automotive,Tools,Logitech,100.02,165.17,1972,Active,2016-03-06
118,UrbanEdge Board Games Drive,Toys & Games,Board Games,Vantage,283.26,494.05,1054,Active,2021-03-15
119,Northline Paper Products Political,Office Supplies,Paper Products,TrueValue,188.89,226.65,249,Active,2021-02-17
120,Vantage Action Figures Whose,Toys & Games,Action Figures,GreenLeaf,53.13,89.3,611,Active,2015-07-08
121,Logitech Tools Agree,Automotive,Tools,RetailMart Basics,323.45,487.86,1110,Active,2026-05-15
122,Homestead Fitness Doctor,Sports & Outdoors,Fitness,RetailMart Basics,40.31,48.12,1739,Active,2019-11-24
123,Vantage Cat Successful,Pet Supplies,Cat,Everstyle,216.12,314.55,284,Active,2019-11-26
124,Homestead Paper Products Several,Office Supplies,Paper Products,Homestead,185.81,230.0,443,Active,2020-09-29
125,PrimeChoice Action Figures Security,Toys & Games,Action Figures,Northline,223.19,382.59,428,Active,2022-10-18
126,GreenLeaf Fitness Condition,Sports & Outdoors,Fitness,Northline,218.19,379.82,1641,Active,2020-12-05
127,Northline Decor Ask,Home & Garden,Decor,Northline,383.42,518.48,648,Active,2024-07-11
128,TrueValue Kids' Wear Life,Apparel,Kids' Wear,UrbanEdge,377.54,713.97,339,Active,2015-12-22
129,Northline Board Games Song,Toys & Games,Board Games,Vantage,330.22,619.94,1376,Active,2025-10-01
130,Vantage Tools Specific,Automotive,Tools,Homestead,367.31,603.75,238,Active,2024-12-04
131,UrbanEdge Writing Instruments For,Office Supplies,Writing Instruments,Everstyle,318.45,416.22,371,Active,2018-12-08
132,Northline Camping Thought,Sports & Outdoors,Camping,NovaTech,328.09,528.37,1178,Active,2020-01-31
